trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0,initdum_2.0,initdum_3.0
-0.0078936,0.127647,0.255219,0.00170453,-0.000976092,-0.000779769,0.0102296,0.0864961,0.004874,-0.0004248,0.000198508,0,6.2308921e-05,0.016293757,0.065136738,2.9054225e-06,9.5275559e-07,6.0803969e-07,0.00010464472,0.0074815753,2.3755876e-05,1.8045504e-07,3.9405426e-08,0,-0.074986686,0.088635186,0.07196308,0.041847638,0.027889218,0,0,0
-0.0303945,0.0402413,0.31629,0.00200266,-0.0011746,-0.000779769,-0.0225009,-0.0874057,0.061071,0.00029813,-0.000198508,0,0.00092382563,0.0016193622,0.10003936,4.0106471e-06,1.3796852e-06,6.0803969e-07,0.0005062905,0.0076397564,0.003729667,8.8881497e-08,3.9405426e-08,0,-0.045504265,0.046365316,-0.012477919,0.080966447,-0.0062124944,0,0,0
-0.0130065,0.085143,0.271193,0.0021248,-0.0012426,-0.000941721,0.017388,0.0449017,-0.045097,0.00012214,-6.8e-05,-0.000161952,0.00016916904,0.0072493304,0.073545643,4.514775e-06,1.5440548e-06,8.8683844e-07,0.00030234254,0.0020161627,0.0020337394,1.491818e-08,4.624e-09,2.622845e-08,-0.081907311,0.089185004,-0.13139245,-0.038114031,-0.0081476839,0,0,0
-0.0158819,0.0305391,0.289876,0.00186551,-0.00128462,-0.00101644,-0.0028754,-0.0546039,0.018683,-0.00025929,-4.202e-05,-7.4719e-05,0.00025223475,0.00093263663,0.084028095,3.4801276e-06,1.6502485e-06,1.0331503e-06,8.2679252e-06,0.0029815859,0.00034905449,6.7231304e-08,1.7656804e-09,5.582929e-09,0.077816853,-0.015749972,-0.088643874,0.019963251,-0.032472601,0,0,0
0.0154582,0.135061,0.322998,0.000973553,-0.00103727,-0.000973026,0.0313401,0.1045219,0.033122,-0.000891957,0.00024735,4.3414e-05,0.00023895595,0.018241474,0.10432771,9.4780544e-07,1.0759291e-06,9.467796e-07,0.00098220187,0.010924828,0.0010970669,7.9558729e-07,6.1182022e-08,1.8847754e-09,0.015972399,-0.11768228,0.1341038,0.035321994,0.025268993,0,0,0
-0.0124346,0.0602948,0.341624,0.00172012,-0.0010699,-0.00112282,-0.0278928,-0.0747662,0.018626,0.000746567,-3.263e-05,-0.000149794,0.00015461928,0.0036354629,0.11670696,2.9588128e-06,1.144686e-06,1.2607248e-06,0.00077800829,0.0055899847,0.00034692788,5.5736229e-07,1.0647169e-09,2.2438242e-08,0.023281471,-0.040514919,0.061336306,0.090867416,-0.01356001,0,0,0
-0.00077789,0.0850456,0.363103,0.00120081,-0.000746963,-0.00109422,0.01165671,0.0247508,0.021479,-0.00051931,0.000322937,2.86e-05,6.0511285e-07,0.0072327541,0.13184379,1.4419447e-06,5.5795372e-07,1.1973174e-06,0.00013587889,0.0006126021,0.00046134744,2.6968288e-07,1.0428831e-07,8.1796e-10,-0.076268882,0.064584311,-0.0015142126,0.02269677,0.021454014,0,0,0
0.0106686,0.106604,0.444826,0.000526817,-0.00116987,-0.00111377,0.01144649,0.0215584,0.081723,-0.000673993,-0.000422907,-1.955e-05,0.00011381903,0.011364413,0.19787017,2.7753615e-07,1.3685958e-06,1.2404836e-06,0.00013102213,0.00046476461,0.0066786487,4.5426656e-07,1.7885033e-07,3.822025e-10,-0.054151879,-0.066687362,-0.031431145,0.01438981,0.063144888,0,0,0
0.00506086,0.0403267,0.449591,0.000735964,-0.00148916,-0.00114302,-0.00560774,-0.0662773,0.004765,0.000209147,-0.00031929,-2.925e-05,2.5612304e-05,0.0016262427,0.20213207,5.4164301e-07,2.2175975e-06,1.3064947e-06,3.1446748e-05,0.0043926805,2.2705225e-05,4.3742468e-08,1.019461e-07,8.555625e-10,0.026828043,-0.071246107,-0.07707299,0.016375715,0.040367864,0,0,0
0.022102,0.0860255,0.425248,0.000378543,-0.00116165,-0.00118129,0.01704114,0.0456988,-0.024343,-0.000357421,0.00032751,-3.827e-05,0.0004884984,0.0074003867,0.18083586,1.432948e-07,1.3494307e-06,1.3954461e-06,0.00029040045,0.0020883803,0.00059258165,1.2774977e-07,1.072628e-07,1.4645929e-09,0.031029391,-0.041408079,-0.045265326,-0.044864804,0.0047741803,0,0,0
