trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0,initdum_2.0
0.00391403,0.0580439,0.147389,-0.000209795,-0.00015881,-0.000361026,0.01400183,0.0882922,0.077415,-0.000774137,-0.000550477,0.000272095,1.5319631e-05,0.0033690943,0.021723517,4.4013942e-08,2.5220616e-08,1.3033977e-07,0.00019605124,0.0077955126,0.0059930822,5.9928809e-07,3.0302493e-07,7.4035689e-08,0.064233007,-0.071760519,0.088145008,-0.11639843,0.14596889,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0,0
-0.0155863,-0.0031831,0.0954029,0.000797715,0.000542749,-0.000145078,-0.01950033,-0.061227,-0.0519861,0.00100751,0.000701559,0.000215948,0.00024293275,1.0132126e-05,0.0091017133,6.3634922e-07,2.9457648e-07,2.1047626e-08,0.00038026287,0.0037487455,0.0027025546,1.0150764e-06,4.9218503e-07,4.6633539e-08,-0.023638932,-0.075438555,-0.10029352,-0.0014159461,-0.11080898,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0,0
-0.00283971,0.0966322,0.123627,-0.000336704,0.000183307,-0.000414063,0.01274659,0.0998153,0.0282241,-0.001134419,-0.000359442,-0.000268985,8.0639529e-06,0.0093377821,0.015283635,1.1336958e-07,3.3601456e-08,1.7144817e-07,0.00016247556,0.0099630941,0.00079659982,1.2869065e-06,1.2919855e-07,7.235293e-08,-0.015276872,-0.014636322,-0.011630526,-0.098950846,0.10891868,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0,0
-0.0113093,0.0136505,0.13731,0.000843852,0.000507716,-0.000371612,-0.00846959,-0.0829817,0.013683,0.001180556,0.000324409,4.2451e-05,0.00012790027,0.00018633615,0.018854036,7.120862e-07,2.5777554e-07,1.3809548e-07,7.1733955e-05,0.0068859625,0.00018722449,1.3937125e-06,1.052412e-07,1.8020874e-09,0.11777782,-0.068293006,-0.023788866,0.047808913,-0.12331764,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0,0
-0.0246756,0.0799924,0.0817822,-7.43218e-05,0.000507716,-0.000371612,-0.0133663,0.0663419,-0.0555278,-0.0009181738,0,0,0.00060888524,0.0063987841,0.0066883282,5.52373e-09,2.5777554e-07,1.3809548e-07,0.00017865798,0.0044012477,0.0030833366,8.4304313e-07,0,0,-0.0026980587,0.10379206,-0.018268502,-0.010850729,0.049280311,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0,0
-0.0246618,0.0362787,0.118584,0.000549891,0.000372834,-0.000371612,1.38e-05,-0.0437137,0.0368018,0.0006242128,-0.000134882,0,0.00060820438,0.0013161441,0.014062165,3.0238011e-07,1.3900519e-07,1.3809548e-07,1.9044e-10,0.0019108876,0.0013543725,3.8964162e-07,1.8193154e-08,0,0.20686716,-0.0019406427,-0.047742071,-0.047063168,0.013558944,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0,0
-0.0246341,0.0460598,0.0690576,0.000541747,9.4194e-05,-0.000373895,2.77e-05,0.0097811,-0.0495264,-8.144e-06,-0.00027864,-2.283e-06,0.00060683888,0.0021215052,0.0047689521,2.9348981e-07,8.8725096e-09,1.3979747e-07,7.6729e-10,9.5669917e-05,0.0024528643,6.6324736e-11,7.764025e-08,5.212089e-12,-0.044718593,0.10435046,-0.10387882,0.026723213,-0.027381439,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0,0,0
-0.0247379,0.0873696,0.123774,5.44568e-05,0.000231266,-0.00066393,-0.0001038,0.0413098,0.0547164,-0.0004872902,0.000137072,-0.000290035,0.0006119637,0.007633447,0.015320003,2.9655431e-09,5.3483963e-08,4.4080304e-07,1.077444e-08,0.0017064996,0.0029938844,2.3745174e-07,1.8788733e-08,8.4120301e-08,0.15505135,0.041158184,-0.036549134,-0.064582954,0.061191692,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0,0,0
-0.0333748,0.0167009,0.0964203,0.00110477,0.000496707,-0.00041296,-0.0086369,-0.0706687,-0.0273537,0.0010503132,0.000265441,0.00025097,0.0011138773,0.00027892006,0.0092968743,1.2205168e-06,2.4671784e-07,1.7053596e-07,7.4596042e-05,0.0049940652,0.0007482249,1.1031578e-06,7.0458924e-08,6.2985941e-08,-0.046553381,0.10240356,-0.10352927,0.056801671,-0.062088633,108.76135,7.6903848,0.3363319,30.376245,-15.006936,-0.97995338,59.877961,20.905128,1.8664935,57.933023,-21.960542,-2.4948258,65.638584,20.722606,3.0341856,0,0
-0.0247577,0.0824345,0.103473,0.000576539,0.000364661,-0.000692614,0.0086171,0.0657336,0.0070527,-0.000528231,-0.000132046,-0.000279654,0.00061294371,0.0067954468,0.010706662,3.3239722e-07,1.3297764e-07,4.7971415e-07,7.4254412e-05,0.0043209062,4.9740577e-05,2.7902799e-07,1.7436146e-08,7.820636e-08,0.11348383,0.080282241,-0.021022666,-0.045708841,-0.017267311,80.959628,27.619502,7.6903848,60.421968,-30.544549,-15.006936,36.666862,22.101022,20.905128,63.803235,-6.971502,-21.960542,69.627005,-2.9535262,20.722606,0,0
-0.0363097,0.00327111,0.0964719,0.0013342,0.000668442,-0.00041296,-0.011552,-0.07916339,-0.0070011,0.000757661,0.000303781,0.000279654,0.0013183943,1.0700161e-05,0.0093068275,1.7800896e-06,4.4681471e-07,1.7053596e-07,0.0001334487,0.0062668423,4.9015401e-05,5.7405019e-07,9.2282896e-08,7.820636e-08,-0.025819976,0.081948373,-0.086521218,0.11606671,-0.076546912,40.928501,40.025651,27.619502,70.238375,-9.8338796,-30.544549,48.885453,-12.263298,22.101022,43.127014,20.620719,-6.971502,76.255341,-6.6208587,-2.9535262,0,0
