trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0,initdum_2.0
-0.0302051,0.0716305,0.223692,-0.00159172,-0.000588825,-0.000623355,-0.0117259,0.1268135,0.007689,-0.00041004,1.962e-06,6.3159e-05,0.00091234807,0.0051309285,0.050038111,2.5335726e-06,3.4671488e-07,3.8857146e-07,0.00013749673,0.016081664,5.9120721e-05,1.681328e-07,3.849444e-12,3.9890593e-09,-0.06597749,0.0052091195,0.003246299,-0.043215733,-0.033248243,0,0
-0.0347918,-0.0421691,0.233552,-0.000905607,-0.000668255,-0.000874591,-0.0045867,-0.1137996,0.00986,0.000686113,-7.943e-05,-0.000251236,0.0012104693,0.001778233,0.054546537,8.2012404e-07,4.4656475e-07,7.6490942e-07,2.1037817e-05,0.012950349,9.72196e-05,4.7075105e-07,6.3091249e-09,6.3119528e-08,0.03233511,-0.039234865,-0.057211032,0.0058543084,0.10658685,0,0
-0.028808,0.0671665,0.203593,-0.00157499,-0.0005837,-0.000660524,0.0059838,0.1093356,-0.029959,-0.000669383,8.4555e-05,0.000214067,0.00082990086,0.0045113387,0.04145011,2.4805935e-06,3.4070569e-07,4.3629195e-07,3.5805862e-05,0.011954273,0.00089754168,4.480736e-07,7.149548e-09,4.582468e-08,0.14218124,2.41473e-05,0.029409779,-0.079929721,0.0012110856,0,0
-0.0271127,-0.0216408,0.240437,-0.00159699,-0.000518832,-0.000872687,0.0016953,-0.0888073,0.036844,-2.2e-05,6.4868e-05,-0.000212163,0.0007350985,0.00046832422,0.057809951,2.5503771e-06,2.6918664e-07,7.615826e-07,2.8740421e-06,0.0078867365,0.0013574803,4.84e-10,4.2078574e-09,4.5013139e-08,-0.046406203,-0.056942555,-0.067194859,0.049785509,-0.1174002,0,0
-0.0117371,0.0682951,0.215163,-0.0017004,-0.000186792,-0.00094191,0.0153756,0.0899359,-0.025274,-0.00010341,0.00033204,-6.9223e-05,0.00013775952,0.0046642207,0.046295117,2.8913602e-06,3.4891251e-08,8.8719445e-07,0.00023640908,0.0080884661,0.00063877508,1.0693628e-08,1.1025056e-07,4.7918237e-09,-0.052563209,-0.028378716,-0.034107334,-0.10095037,0.11410083,0,0
-0.0262253,-0.0759989,0.180702,-0.00153788,-0.000442689,-0.00094191,-0.0144882,-0.144294,-0.034461,0.00016252,-0.000255897,0,0.00068776636,0.0057758328,0.032653213,2.3650749e-06,1.9597355e-07,8.8719445e-07,0.00020990794,0.020820758,0.0011875605,2.641275e-08,6.5483275e-08,0,-0.0037412379,0.077415827,-0.10550146,0.047393672,0.071098901,0,0
-0.0137291,0.0730803,0.23526,-0.0016552,-0.000681586,-0.000565579,0.0124962,0.1490792,0.054558,-0.00011732,-0.000238897,0.000376331,0.00018848819,0.0053407302,0.055347268,2.739687e-06,4.6455948e-07,3.1987961e-07,0.00015615501,0.022224608,0.0029765754,1.3763982e-08,5.7071777e-08,1.4162502e-07,-0.062721601,0.12590076,0.039375492,-0.16675133,0.093067176,0,0
-0.0134036,0.0102761,0.31051,-0.00142069,-0.000851539,-0.000852078,0.0003255,-0.0628042,0.07525,0.00023451,-0.000169953,-0.000286499,0.00017965649,0.00010559823,0.09641646,2.0183601e-06,7.2511867e-07,7.2603692e-07,1.0595025e-07,0.0039443675,0.0056625625,5.499494e-08,2.8884022e-08,8.2081677e-08,-0.043184835,0.095015059,0.090267388,0.088714661,-0.10086917,0,0
-0.00398201,0.0838808,0.297697,-0.0015514,-0.000659746,-0.00094191,0.00942159,0.0736047,-0.012813,-0.00013071,0.000191793,-8.9832e-05,1.5856404e-05,0.0070359886,0.088623504,2.406842e-06,4.3526478e-07,8.8719445e-07,8.8766358e-05,0.0054176519,0.00016417297,1.7085104e-08,3.6784555e-08,8.0697882e-09,0.067859349,-0.038124226,0.083904037,-0.12560157,-0.061536139,0,0
-0.0110279,-0.00640432,0.334315,-0.00129851,-0.0012318,-0.000710638,-0.00704589,-0.09028512,0.036618,0.00025289,-0.000572054,0.000231272,0.00012161458,4.1015315e-05,0.11176652,1.6861282e-06,1.5173312e-06,5.0500637e-07,4.9644566e-05,0.0081514029,0.0013408779,6.3953352e-08,3.2724578e-07,5.3486738e-08,0.085936083,-0.079034452,-0.015941129,0.018415617,-0.043448706,0,0
