trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0,initdum_2.0,initdum_3.0
0.0257887,-0.0379033,-0.143592,4.52476e-05,0.000206325,7.49825e-05,-1.57e-05,0.0388432,-0.0449124,-0.0001847894,-0.000114904,7.49825e-05,0.00066505705,0.0014366602,0.020618662,2.0473453e-09,4.2570006e-08,5.6223753e-09,2.4649e-10,0.0015087942,0.0020171237,3.4147122e-08,1.3202929e-08,5.6223753e-09,-0.071193417,0.044097924,0.0064885259,-5.32706e-05,-0.037649083,81.14185,35.309886,27.955833,60.920795,-45.551485,-31.524503,37.776939,43.00615,23.967515,64.904525,-28.932044,-9.4663278,68.59211,17.76908,0.080659337,0,0,0
0.0257444,-0.0378927,-0.149472,-4.41573e-05,-0,8.63001e-05,-4.43e-05,1.06e-05,-0.00588,-8.94049e-05,-0.000206325,1.13176e-05,0.00066277413,0.0014358567,0.022341879,1.9498671e-09,0,7.4477073e-09,1.96249e-09,1.1236e-10,3.45744e-05,7.9932361e-09,4.2570006e-08,1.2808807e-10,0.0050744571,-0.092272349,0.042087373,0.012355135,0.028106512,40.933976,67.645153,47.716036,70.255848,-40.378429,-24.840816,48.930161,9.8377235,8.6418294,43.182515,13.649217,-1.3398226,76.247863,-9.5743849,14.101748,0,0,0
0.025854,-0.0879506,-0.146009,0.000393505,0.000455195,7.40293e-05,0.0001096,-0.0500579,0.003463,0.0004376623,0.000455195,-1.22708e-05,0.00066842932,0.007735308,0.021318628,1.5484619e-07,2.0720249e-07,5.4803373e-09,1.201216e-08,0.0025057934,1.1992369e-05,1.9154829e-07,2.0720249e-07,1.5057253e-10,0.025377612,0.073385914,-0.024313466,-0.038802391,0.043572192,7.7825467,73.171605,60.765456,43.535548,16.868947,-3.8417231,61.838707,-25.216553,9.1477677,52.332599,11.415135,-16.177086,57.452607,12.181875,15.849207,0,0,0
0.0258103,-0.09421,-0.161515,-0.000476196,0.000328962,0,-4.37e-05,-0.0062594,-0.015506,-0.000869701,-0.000126233,-7.40293e-05,0.00066617159,0.0088755241,0.026087095,2.2676263e-07,1.08216e-07,0,1.90969e-09,3.9180088e-05,0.00024043604,7.5637983e-07,1.593477e-08,5.4803373e-09,-0.051087045,-0.070911898,0.0070898337,-0.018020508,-0.082223726,-6.9778604,47.906361,54.786058,9.2926121,60.945762,24.409057,35.76762,13.117833,13.807789,59.343279,-16.216265,13.610039,69.107106,7.1482344,-18.275358,0,0,0
0.0257666,-0.0106569,-0.146047,-0.000838521,0.000226659,0.000302791,-4.37e-05,0.0835531,0.015468,-0.000362325,-0.000102303,0.000302791,0.00066391768,0.00011356952,0.021329726,7.0311747e-07,5.1374302e-08,9.168239e-08,1.90969e-09,0.0069811205,0.00023925902,1.3127941e-07,1.0465904e-08,9.168239e-08,0.050870629,-0.030516192,-0.037370235,0.048047666,0.064421449,-7.2372391,15.019786,33.405333,-5.3904359,48.925984,41.385874,4.3240022,57.514705,18.490364,28.924291,23.408307,21.213404,63.44184,-5.9892325,24.468,0,0,0
0.0257345,-0.104544,-0.145962,-0.000493383,-2.24082e-05,0,-3.21e-05,-0.0938871,8.5e-05,0.000345138,-0.0002490672,-0.000302791,0.00066226449,0.010929448,0.021304905,2.4342678e-07,5.0212743e-10,0,1.03041e-09,0.0088147875,7.225e-09,1.1912024e-07,6.203447e-08,9.168239e-08,-0.0094031591,0.092598564,0.030947672,0.016691804,0.053594563,-3.5165271,-3.4613334,11.039695,-5.3917047,14.684317,34.244205,-5.864559,41.632179,36.259648,4.2274712,55.115808,17.686139,31.694197,37.412909,20.093144,0,0,0
0.0257074,-0.10241,-0.17936,-0.000565941,-2.24082e-05,0.000245444,-2.71e-05,0.002134,-0.033398,-7.2558e-05,0,0.000245444,0.00066087041,0.010487808,0.03217001,3.2028922e-07,5.0212743e-10,6.0242757e-08,7.3441e-10,4.553956e-06,0.0011154264,5.2646634e-09,0,6.0242757e-08,-0.040670158,-0.14091645,0.012749268,-0.0011854271,-0.026872638,-1.0602419,-6.1769972,-2.1969065,-2.2882157,-3.1022203,11.579559,-4.0480049,8.3720071,29.627064,-2.1326453,31.056937,36.779104,8.8451177,54.596722,28.514346,0,0,0
0.00649628,-0.0775582,-0.197876,-0.000845388,-0.000122315,0,-0.01921112,0.0248518,-0.018516,-0.000279447,-9.99068e-05,-0.000245444,4.2201654e-05,0.0060152744,0.039154911,7.1468087e-07,1.4960959e-08,0,0.00036906713,0.00061761196,0.00034284226,7.8090626e-08,9.9813687e-09,6.0242757e-08,0.027168715,0.061108002,-0.11107197,-0.038653286,0.059666967,-0.18769801,-3.3288291,-4.5932559,-0.51629968,-4.875405,-1.7706473,-1.1547843,-4.7097747,7.2953406,-1.1567913,5.3842624,23.720966,1.0423718,30.651825,39.550389,0,0,0
0.00879305,-0.0870607,-0.191266,-0.00101498,2.45634e-05,0,0.00229677,-0.0095025,0.00661,-0.000169592,0.0001468784,0,7.7317728e-05,0.0075795655,0.036582683,1.0301844e-06,6.0336062e-10,0,5.2751524e-06,9.0297506e-05,4.36921e-05,2.8761446e-08,2.1573264e-08,0,-0.061203809,0.017954709,-0.018822511,0.10608834,-0.077159601,0.3308562,-1.0547662,-2.6385075,-0.9974267,-2.2707424,-3.6023154,1.8217859,-4.0032972,-2.9266307,-2.5503267,-2.0771444,5.2588261,3.041663,8.8376403,23.883974,0,0,0
0.00167766,-0.0639071,-0.183031,-0.00111508,2.45634e-05,0,-0.00711539,0.0231536,0.008235,-0.0001001,0,0,2.8145431e-06,0.0040841174,0.033500347,1.2434034e-06,6.0336062e-10,0,5.0628775e-05,0.00053608919,6.7815225e-05,1.002001e-08,0,0,0.045825469,-0.086820303,-0.0015914361,0.11306224,0.054651922,8.0267167,-0.18769801,-0.8780196,-15.986889,-0.51629968,-1.7893893,22.771621,-1.1547843,-2.9379282,-24.455368,-1.1567913,-1.0313549,23.756792,1.0423718,7.8102233,0,0,0
